year,trades,equity_start,equity_end,pnl_$,return_%,pct_simple
2018,19,10000,9676,-324,-3.2,-3.2
2019,32,9676,9652,-24,-0.2,0.0
2020,38,9652,9204,-448,-4.6,-4.5
2021,15,9204,9536,332,3.6,3.7
2022,24,9536,10726,1190,12.5,12.0
2023,29,10726,11708,983,9.2,9.1
2024,21,11708,11586,-123,-1.0,-0.9
2025,37,11586,13579,1993,17.2,16.5
2026,12,13579,13694,115,0.9,0.9
