symbol,direction,entry_time,entry_price,sl,tp1,tp2,tp3,confluences,exit_time,exit_reason,rr_realized,pnl_dollar,position_size,notional,margin_required,leverage_used,equity
US30,long,2022-07-28 00:00:00+00:00,32529.630859375,31662.483956473214,33396.77776227679,34697.49811662947,35998.218470982145,OB+FVG+BOS+OB-Tap+OB-EQ-Reject+BOS-Confirm,2022-08-26 00:00:00+00:00,tp1_sl,0.33,33.0,0.11532071401669537,3751.3402574026527,125.04467524675509,0.3751340257402653,10033.0
US30,short,2022-12-16 00:00:00+00:00,32920.4609375,33915.70532924107,31925.21654575893,30432.349958147322,28939.483370535716,OB+FVG+BOS+OB-Tap+OB-EQ-Reject+BOS-Confirm,2023-01-09 00:00:00+00:00,sl,-1.0,-100.0,0.10047783321346926,3307.7765833886547,110.25921944628848,0.33077765833886547,9932.67
US2000,long,2023-06-02 00:00:00+00:00,1830.9100341796875,1735.741348702567,1926.078719656808,2068.831747872489,2211.5847760881697,OB+BOS+OB-Tap+OB-EQ-Reject+BOS-Confirm,2023-08-18 00:00:00+00:00,tp1_sl,0.33,33.0,1.0507658007322265,1923.8576481334874,64.12858827111624,0.19238576481334874,9965.447811
US100,long,2023-12-08 00:00:00+00:00,16084.6904296875,15823.30775669643,16346.07310267857,16738.147112165178,17130.221121651783,OB+BOS+OB-Tap+OB-EQ-Reject+BOS-Confirm,2024-01-19 00:00:00+00:00,tp3,2.5150000000000015,251.50000000000014,0.3825808300744411,6153.694216080263,205.12314053600875,0.6153694216080263,10216.07882344665
US30,long,2023-12-26 00:00:00+00:00,37545.328125,37187.54375,37903.1125,38439.78906250001,38976.46562500001,OB+FVG+BOS+OB-Tap+OB-EQ-Reject+BOS-Confirm,2024-01-17 00:00:00+00:00,sl,-1.0,-100.0,0.27949795180406967,10493.84231074923,349.79474369164103,1.049384231074923,10113.918035212184
US100,long,2024-03-01 00:00:00+00:00,18302.91015625,17801.39769810268,18804.42261439732,19556.691301618303,20308.959988839284,OB+FVG+BOS+OB-Tap+OB-EQ-Reject+BOS-Confirm,2024-03-15 00:00:00+00:00,sl,-1.0,-100.0,0.1993968412458154,3649.5424707622033,121.65141569207344,0.3649542470762203,10012.778854860062
US100,long,2024-06-05 00:00:00+00:00,19035.05078125,18458.753055245536,19611.348507254464,20475.79509626116,21340.241685267858,OB+BOS+OB-Tap+OB-EQ-Reject+BOS-Confirm,2024-07-24 00:00:00+00:00,tp2_sl,1.155,115.5,0.17352142041807278,3302.989049292646,110.09963497642154,0.3302989049292646,10128.426450633695
US2000,short,2024-06-13 00:00:00+00:00,2038.9100341796875,2096.0334533691407,1981.7866149902343,1896.1014862060545,1810.4163574218746,OB+FVG+BOS+OB-Tap+OB-EQ-Reject+BOS-Confirm,2024-07-11 00:00:00+00:00,sl,-1.0,-100.0,1.7505954898873273,3569.306710120977,118.9768903373659,0.35693067101209774,10027.142186127357
US500,long,2024-07-03 00:00:00+00:00,5537.02001953125,5445.939003208706,5628.101035853794,5764.72256033761,5901.344084821427,OB+BOS+OB-Tap+OB-EQ-Reject+BOS-Confirm,2024-07-18 00:00:00+00:00,tp1_sl,0.33,33.0,1.0979236292870416,6079.225115278756,202.64083717595852,0.6079225115278756,10060.231755341578
US30,long,2024-07-11 00:00:00+00:00,39753.75,39160.29997209821,40347.20002790179,41237.375069754475,42127.550111607154,OB+BOS+OB-Tap+OB-EQ-Reject+BOS-Confirm,2024-08-02 00:00:00+00:00,tp2_sl,1.155000000000002,115.5000000000002,0.1685061846800507,6698.752739224566,223.29175797415218,0.6698752739224566,10176.427432115774
US500,short,2024-08-02 00:00:00+00:00,5346.56005859375,5587.975069754464,5105.145047433036,4743.022530691965,4380.9000139508935,OB+FVG+BOS+OB-Tap+OB-EQ-Reject+BOS-Confirm,2024-08-19 00:00:00+00:00,sl,-1.0,-100.0,0.4142244490895733,2214.6758947953126,73.82252982651042,0.22146758947953127,10074.663157794615
US30,long,2024-10-09 00:00:00+00:00,42512.0,41758.56174665179,43265.43825334821,44395.59563337053,45525.75301339285,OB+BOS+OB-Tap+OB-EQ-Reject+BOS-Confirm,2024-10-23 00:00:00+00:00,tp1_sl,0.33,33.0,0.1327248776599925,5642.399999081601,188.0799999693867,0.5642399999081601,10107.909546215338
US100,long,2024-10-25 00:00:00+00:00,20352.01953125,20042.113141741072,20661.925920758928,21126.78550502232,21591.64508928571,OB+FVG+BOS+OB-Tap+OB-EQ-Reject+BOS-Confirm,2024-10-31 00:00:00+00:00,sl,-1.0,-100.0,0.3226780840448573,6567.150668787265,218.90502229290885,0.6567150668787265,10006.830450753185
US30,long,2024-11-06 00:00:00+00:00,43729.9296875,41647.510463169645,45812.348911830355,48935.97774832589,52059.60658482142,OB+BOS+OB-Tap+OB-EQ-Reject+BOS-Confirm,2025-03-10 00:00:00+00:00,sl,-1.0,-100.0,0.048021070316500304,2099.9580284590515,69.99860094863506,0.20999580284590516,9906.762146245654
US100,long,2024-11-06 00:00:00+00:00,20781.330078125,19969.51046316964,21593.14969308036,22810.879115513395,24028.608537946435,OB+FVG+BOS+OB-Tap+OB-EQ-Reject+BOS-Confirm,2025-01-10 00:00:00+00:00,tp1_sl,0.33,33.0,0.1231800736983904,2559.8457705740148,85.32819235246716,0.25598457705740146,9939.454461328265
US100,long,2025-07-17 00:00:00+00:00,23081.05078125,22604.09892578125,23558.00263671875,24273.430419921875,24988.858203124997,OB+FVG+BOS+OB-Tap+OB-EQ-Reject+BOS-Confirm,2025-08-01 00:00:00+00:00,tp1_sl,0.33,33.0,0.2096647677399636,4839.283151245087,161.30943837483622,0.4839283151245087,9972.254661050649
US2000,long,2025-09-05 00:00:00+00:00,2391.050048828125,2341.8941685267855,2440.2059291294645,2513.9397495814737,2587.673570033483,OB+FVG+BOS+OB-Tap+OB-EQ-Reject+BOS-Confirm,2025-11-07 00:00:00+00:00,tp2_sl,1.155,115.5,2.034344607134927,4864.2197722232,162.14065907410668,0.48642197722232006,10087.434202385784
US30,long,2025-09-26 00:00:00+00:00,46247.2890625,45668.95192522321,46825.62619977679,47693.13190569197,48560.63761160715,OB+FVG+BOS+OB-Tap+OB-EQ-Reject+BOS-Confirm,2025-10-10 00:00:00+00:00,tp1_sl,0.33,33.0,0.1729095255249723,7996.596808613116,266.55322695377055,0.7996596808613116,10120.722735253657
US500,long,2025-09-26 00:00:00+00:00,6643.7001953125,6554.128065708705,6733.272324916295,6867.630519321987,7001.988713727678,OB+FVG+BOS+OB-Tap+OB-EQ-Reject+BOS-Confirm,2025-10-10 00:00:00+00:00,tp1_sl,0.33,33.0,1.1164186945462964,7417.151099007756,247.2383699669252,0.7417151099007756,10154.121120279995
US30,long,2025-12-11 00:00:00+00:00,48704.01171875,47302.1642578125,50105.8591796875,52208.63037109374,54311.40156249999,OB+FVG+BOS+OB-Tap+OB-EQ-Reject+BOS-Confirm,2026-02-27 00:00:00+00:00,tp1_sl,0.33,33.0,0.07133443743809628,3474.27327693548,115.80910923118267,0.347427327693548,10187.62971997692
US500,short,2026-03-26 00:00:00+00:00,6477.16015625,6664.73623046875,6289.58408203125,6008.219970703124,5726.8558593749985,OB+FVG+BOS+OB-Tap+OB-EQ-Reject+BOS-Confirm,2026-04-08 00:00:00+00:00,sl,-1.0,-100.0,0.5331170322041203,3453.0843996107765,115.10281332035922,0.34530843996107763,10085.75342277715
US100,short,2026-03-26 00:00:00+00:00,23586.990234375,24444.86111886161,22729.11934988839,21442.31302315848,20155.506696428565,OB+FVG+BOS+OB-Tap+OB-EQ-Reject+BOS-Confirm,2026-04-08 00:00:00+00:00,sl,-1.0,-100.0,0.11656765815038102,2749.4802144370005,91.64934048123335,0.27494802144370006,9984.89588854938
US30,long,2026-05-21 00:00:00+00:00,50285.66015625,49080.60069754464,51490.71961495536,53298.308803013395,55105.897991071426,OB+FVG+BOS+OB-Tap+OB-EQ-Reject+BOS-Confirm,2026-06-09 00:00:00+00:00,tp1_sl,0.33,33.0,0.08298345718760965,4172.87792672686,139.09593089089535,0.417287792672686,10017.846044981592
