symbol,direction,entry_time,entry_price,sl,tp1,tp2,tp3,confluences,exit_time,exit_reason,rr_realized,pnl_dollar,position_size,notional,margin_required,leverage_used,equity
US30,long,2018-07-24 00:00:00+00:00,25154.169921875,24888.92068917411,25419.41915457589,25684.668387276783,25949.917619977674,OB+FVG+BOS,2018-08-02 00:00:00+00:00,tp1_sl,0.33,33.0,0.37700391809526984,9483.220616981063,316.1073538993688,0.9483220616981063,10033.0
US500,long,2018-07-30 00:00:00+00:00,2843.169921875,2799.2607770647323,2887.0790666852677,2930.9882114955353,2974.897356305803,OB+FVG+BOS,2018-08-02 00:00:00+00:00,sl,-1.0,-100.0,2.277429916526548,6475.120237846573,215.83734126155244,0.6475120237846573,9933.0
US500,long,2018-08-10 00:00:00+00:00,2825.830078125,2786.3136596679688,2865.3464965820312,2904.8629150390625,2944.3793334960938,OB+FVG+BOS,2018-10-10 00:00:00+00:00,tp2_sl,0.99,99.0,2.5305937102760576,7151.027822012025,238.3675940670675,0.7151027822012025,10032.0
US100,long,2018-08-22 00:00:00+00:00,7395.75,7352.020856584822,7439.479143415178,7475.434640066964,7511.39013671875,OB+BOS,2018-08-27 00:00:00+00:00,tp3,1.8304542184491654,183.04542184491655,2.2868044555679514,16912.634052266676,563.7544684088892,1.6912634052266675,10215.045421844916
US2000,long,2018-09-05 00:00:00+00:00,1740.800048828125,1714.612099783761,1766.987997872489,1793.1759469168528,1819.3638959612167,OB+FVG+BOS,2018-09-06 00:00:00+00:00,sl,-1.0,-100.0,3.8185502740437673,6647.332503508041,221.57775011693468,0.6647332503508041,10115.045421844916
US100,long,2018-09-05 00:00:00+00:00,7643.4501953125,7545.674734933035,7741.225655691965,7839.001116071429,7936.776576450894,OB+FVG+BOS,2018-09-06 00:00:00+00:00,sl,-1.0,-100.0,1.0227515126178075,7817.350248874735,260.5783416291578,0.7817350248874735,10015.045421844916
US2000,long,2018-09-13 00:00:00+00:00,1718.949951171875,1697.220663888114,1740.679238455636,1741.3846021379743,1742.0899658203125,OB+BOS,2018-09-26 00:00:00+00:00,sl,-1.0,-100.0,4.602083754248709,7910.751644654698,263.6917214884899,0.7910751644654698,9915.045421844916
US30,long,2018-10-11 00:00:00+00:00,25235.369140625,24867.665876116072,25603.072405133928,26277.441476004464,26951.810546875,OB+FVG+BOS,2018-10-23 00:00:00+00:00,tp1_sl,0.33,33.0,0.27195842314196284,6862.971198889725,228.7657066296575,0.6862971198889726,9948.045421844916
US100,short,2018-10-19 00:00:00+00:00,7133.2900390625,7331.1700439453125,6935.4100341796875,6914.150085449219,6892.89013671875,OB+FVG+BOS,2018-10-24 00:00:00+00:00,tp3,1.1085129759850663,110.85129759850662,0.5053567694180192,3604.856409462361,120.16188031541203,0.36048564094623614,10058.896719443423
US2000,short,2018-10-30 00:00:00+00:00,1470.530029296875,1531.9953918457031,1409.0646667480469,1347.5993041992188,1286.1339416503906,OB+FVG+BOS,2018-11-01 00:00:00+00:00,sl,-1.0,-100.0,1.626932565809889,2392.453193664456,79.7484397888152,0.2392453193664456,9958.896719443423
US100,short,2018-11-01 00:00:00+00:00,6924.08984375,7137.257254464285,6710.922433035715,6642.836216517857,6574.75,OB+BOS,2018-11-07 00:00:00+00:00,sl,-1.0,-100.0,0.46911485984146517,3248.1934365804937,108.27311455268313,0.3248193436580494,9858.896719443423
US30,short,2018-11-01 00:00:00+00:00,25008.8203125,25583.37618582589,24434.26443917411,24278.247453962053,24122.23046875,OB+BOS,2018-11-06 00:00:00+00:00,sl,-1.0,-100.0,0.1740474767425786,4352.722071699171,145.0907357233057,0.43527220716991705,9758.896719443423
US500,short,2018-11-05 00:00:00+00:00,2708.85009765625,2785.642900739397,2632.057294573103,2617.7986668178014,2603.5400390625,OB+BOS,2018-11-07 00:00:00+00:00,sl,-1.0,-100.0,1.3022053628088726,3527.479124213307,117.5826374737769,0.3527479124213307,9658.896719443423
US2000,short,2018-11-07 00:00:00+00:00,1544.6500244140625,1575.0549883161273,1514.2450605119977,1486.7025473458425,1459.1600341796875,OB+BOS,2018-11-08 00:00:00+00:00,sl,-1.0,-100.0,3.288936646072095,5080.256070651566,169.34186902171888,0.5080256070651566,9558.896719443423
US500,short,2018-11-12 00:00:00+00:00,2737.080078125,2784.0654296875,2690.0947265625,2646.8173828125,2603.5400390625,OB+BOS,2018-11-16 00:00:00+00:00,tp1_sl,0.33,33.0,2.1283229064909692,5825.390227173529,194.17967423911762,0.5825390227173529,9591.896719443423
US2000,short,2018-11-30 00:00:00+00:00,1486.3399658203125,1548.9007001604352,1423.7792314801898,1361.218497140067,1298.6577627999443,OB+BOS,2018-12-03 00:00:00+00:00,sl,-1.0,-100.0,1.5984467103012558,2375.8352287547596,79.19450762515865,0.23758352287547596,9491.896719443423
US500,short,2018-11-30 00:00:00+00:00,2722.93994140625,2776.0582275390625,2669.8216552734375,2636.6808471679688,2603.5400390625,OB+FVG+BOS,2018-12-03 00:00:00+00:00,sl,-1.0,-100.0,1.8825908605177584,5126.181847430167,170.87272824767223,0.5126181847430167,9391.896719443423
US100,short,2018-12-03 00:00:00+00:00,7057.7099609375,7207.0908203125,6908.3291015625,6675.344482421875,6442.35986328125,OB+FVG+BOS,2018-12-17 00:00:00+00:00,tp3,2.5752651733064864,257.52651733064863,0.6694298079311742,4724.641423584326,157.48804745281086,0.4724641423584326,9649.423236774071
US500,short,2018-12-13 00:00:00+00:00,2583.22998046875,2710.4396013532364,2456.0203595842636,2328.810738699777,2201.6011178152908,OB+FVG+BOS,2019-01-09 00:00:00+00:00,tp1_sl,0.33,33.0,0.7861040643364994,2030.6875867623803,67.68958622541268,0.20306875867623803,9682.423236774071
US100,short,2019-01-03 00:00:00+00:00,6198.68017578125,6495.943795340402,5901.416556222098,5898.268336704799,5895.1201171875,OB+FVG,2019-01-07 00:00:00+00:00,sl,-1.0,-100.0,0.33640174384037297,2085.246820641562,69.50822735471873,0.2085246820641562,9582.423236774071
US2000,short,2019-02-12 00:00:00+00:00,1529.530029296875,1562.9210510253906,1496.1390075683594,1410.6595306396484,1325.1800537109375,OB+FVG+BOS,2019-02-15 00:00:00+00:00,sl,-1.0,-100.0,2.9948170143772788,4580.662555739259,152.6887518579753,0.4580662555739259,9482.423236774071
US100,long,2019-02-22 00:00:00+00:00,7063.06982421875,6964.111572265625,7162.028076171875,7260.986328125,7359.944580078125,OB+FVG+BOS,2019-03-07 00:00:00+00:00,tp1_sl,0.33,33.0,1.0105271468150878,7137.423797223517,237.91412657411723,0.7137423797223517,9515.423236774071
US30,short,2019-02-25 00:00:00+00:00,26081.900390625,26204.715680803572,25959.085100446428,24831.167550223214,23703.25,OB+FVG+BOS,2019-03-01 00:00:00+00:00,tp1_sl,0.33,33.0,0.8142308653474725,21236.688324965173,707.8896108321725,2.1236688324965174,9548.423236774071
