symbol,direction,entry_time,entry_price,sl,tp1,tp2,tp3,confluences,exit_time,exit_reason,rr_realized,pnl_dollar,position_size,notional,margin_required,leverage_used,equity
US30,long,2024-07-30 13:30:00+00:00,40689.03125,39766.40569196428,41611.65680803572,41734.75836065848,41857.85991328125,OB+OB-Leave+OB-Reenter+FVG-Inside+BOS,2024-08-02 13:30:00+00:00,sl,-1.0,-100.0,0.10838633195128627,4410.134847838761,147.0044949279587,0.4410134847838761,9900.0
US500,short,2024-08-01 16:30:00+00:00,5439.18994140625,5513.92023577009,5364.45964704241,5296.332023765346,5228.204400488281,OB+OB-Leave+OB-Reenter+FVG-Inside+BOS,2024-08-05 13:30:00+00:00,tp3,1.9207631268629164,192.07631268629163,1.3381454047689094,7278.427025758047,242.6142341919349,0.7278427025758047,10090.15554955943
US100,short,2024-08-28 14:30:00+00:00,19319.85546875,19858.70947265625,18781.00146484375,18108.196044921875,17435.390625,OB+OB-Leave+OB-Reenter+FVG-Inside+BOS,2024-09-12 13:30:00+00:00,tp1_sl,0.33,33.0,0.18557902377096938,3585.359917286849,119.51199724289496,0.3585359917286849,10123.453062872975
US500,short,2024-08-28 14:30:00+00:00,5592.93017578125,5646.0823974609375,5539.7779541015625,5329.518859863281,5119.259765625,OB+OB-Leave+OB-Reenter+FVG-Inside+BOS,2024-08-29 16:30:00+00:00,sl,-1.0,-100.0,1.8813889022858232,10522.476763974342,350.74922546581143,1.0522476763974342,10022.218532244246
US500,short,2024-09-03 13:30:00+00:00,5580.6201171875,5656.031145368303,5505.209089006697,5312.234427315849,5119.259765625,OB+OB-Leave+OB-Reenter+FVG-Inside+BOS,2024-09-12 16:30:00+00:00,tp1_sl,0.33,33.0,1.3260659934279466,7400.270559642226,246.6756853214075,0.7400270559642226,10055.291853400651
US30,long,2024-09-16 13:30:00+00:00,41555.41015625,40118.949497767855,42991.870814732145,45146.56180245536,47301.25279017858,OB+OB-Leave+OB-Reenter+FVG-Inside+BOS,2025-03-11 13:30:00+00:00,tp1_sl,0.33,33.0,0.06961555083984432,2892.9027684030048,96.43009228010015,0.28929027684030045,10088.474316516873
US500,long,2024-10-08 18:30:00+00:00,5749.1201171875,5667.935302734375,5830.304931640625,5895.205294873047,5960.105658105469,OB+OB-Leave+OB-Reenter+FVG-Inside+BOS,2024-10-31 13:30:00+00:00,tp1_sl,0.33,33.0,1.2317574496365775,7081.521533201217,236.0507177733739,0.7081521533201217,10121.766281761378
US100,long,2024-10-09 13:30:00+00:00,20154.2421875,19889.83126395089,20418.65311104911,20927.238694391745,21435.824277734377,OB+OB-Leave+OB-Reenter+FVG-Inside+BOS,2024-10-15 18:30:00+00:00,tp1_sl,0.33,33.0,0.3781992009170042,7622.318290400275,254.07727634667583,0.7622318290400275,10155.168110491191
US2000,long,2024-10-11 14:30:00+00:00,2223.263916015625,2163.3987862723216,2283.1290457589284,2301.043162357003,2318.957278955078,OB+OB-Leave+OB-Reenter+FVG-Inside+BOS,2024-10-23 13:30:00+00:00,tp1_sl,0.33,33.0,1.6704215029482345,3713.787852041398,123.79292840137992,0.3713787852041398,10188.680165255812
US100,long,2024-10-29 15:30:00+00:00,20475.6015625,20110.569196428572,20840.633928571428,21298.908790652902,21757.183652734377,OB+OB-Leave+OB-Reenter+FVG-Inside+BOS,2024-10-31 13:30:00+00:00,sl,-1.0,-100.0,0.2739483106011278,5609.256456588688,186.97521521962292,0.5609256456588688,10086.793363603254
US100,long,2024-11-05 14:30:00+00:00,20149.896484375,19852.16748046875,20447.62548828125,20470.762939453125,20493.900390625,OB+OB-Leave+OB-Reenter+FVG-Inside+BOS,2024-11-06 14:30:00+00:00,tp3,1.0784902558265779,107.84902558265779,0.3358759095955877,6767.864809946388,225.5954936648796,0.6767864809946388,10195.578447155078
US2000,long,2024-11-05 15:30:00+00:00,2237.37353515625,2187.472394670759,2287.274675641741,2288.382332938058,2289.489990234375,OB+OB-Leave+OB-Reenter+FVG-Inside+BOS,2024-11-06 14:30:00+00:00,tp3,1.0224190040226733,102.24190040226733,2.0039622146326614,4483.612024472225,149.45373414907417,0.4483612024472225,10299.819978768832
US500,long,2024-11-05 20:30:00+00:00,5783.06982421875,5704.1124267578125,5862.0272216796875,5870.243591308594,5878.4599609375,OB+OB-Leave+OB-Reenter+FVG-Inside+BOS,2024-11-06 14:30:00+00:00,tp3,1.1051014039476268,110.51014039476269,1.266505776731976,7324.29133961742,244.143044653914,0.732429133961742,10413.643433958285
US100,long,2024-12-11 14:30:00+00:00,21649.59375,21376.411551339286,21922.775948660714,22426.975894447547,22931.175840234377,OB+OB-Leave+OB-Reenter+FVG-Inside+BOS,2024-12-18 19:30:00+00:00,tp1_sl,0.33,33.0,0.3660560625481962,7924.9650438930385,264.1655014631013,0.7924965043893039,10448.008457290347
US500,long,2024-12-16 17:30:00+00:00,6083.5,6026.2091064453125,6140.7908935546875,6217.638217236328,6294.485540917969,OB+OB-Leave+OB-Reenter+FVG-Inside+BOS,2024-12-18 18:30:00+00:00,sl,-1.0,-100.0,1.7454780994913994,10618.616018255929,353.95386727519764,1.0618616018255929,10343.528372717443
US500,long,2025-01-03 16:30:00+00:00,5925.08984375,5853.233119419643,5996.946568080357,6048.458391462053,6099.97021484375,OB+OB-Leave+OB-Reenter+FVG-Inside+BOS,2025-01-07 17:30:00+00:00,tp1_sl,0.33,33.0,1.3916582050171968,8245.699896518749,274.8566632172916,0.8245699896518749,10377.66201634741
